Event_Name,Code,UMask,Counter,Description,Counter_Mask,Invert,AnyThread,Edge_Detect,PEBS
STORE_FORWARDS.ANY,0x2,0x83,"0,1","All store forwards",0,0,0,0,0
STORE_FORWARDS.GOOD,0x2,0x81,"0,1","Good store forwards",0,0,0,0,0
REISSUE.ANY,0x3,0x7F,"0,1","Micro-op reissues for any cause",0,0,0,0,0
REISSUE.ANY.AR,0x3,0xFF,"0,1","Micro-op reissues for any cause (At Retirement)",0,0,0,0,0
MISALIGN_MEM_REF.SPLIT,0x5,0xF,"0,1","Memory references that cross an 8-byte boundary.",0,0,0,0,0
MISALIGN_MEM_REF.LD_SPLIT,0x5,0x9,"0,1","Load splits",0,0,0,0,0
MISALIGN_MEM_REF.ST_SPLIT,0x5,0xA,"0,1","Store splits",0,0,0,0,0
MISALIGN_MEM_REF.SPLIT.AR,0x5,0x8F,"0,1","Memory references that cross an 8-byte boundary (At Retirement)",0,0,0,0,0
MISALIGN_MEM_REF.LD_SPLIT.AR,0x5,0x89,"0,1","Load splits (At Retirement)",0,0,0,0,0
MISALIGN_MEM_REF.ST_SPLIT.AR,0x5,0x8A,"0,1","Store splits (Ar Retirement)",0,0,0,0,0
MISALIGN_MEM_REF.RMW_SPLIT,0x5,0x8C,"0,1","ld-op-st splits",0,0,0,0,0
MISALIGN_MEM_REF.BUBBLE,0x5,0x97,"0,1","Nonzero segbase 1 bubble",0,0,0,0,0
MISALIGN_MEM_REF.LD_BUBBLE,0x5,0x91,"0,1","Nonzero segbase load 1 bubble",0,0,0,0,0
MISALIGN_MEM_REF.ST_BUBBLE,0x5,0x92,"0,1","Nonzero segbase store 1 bubble",0,0,0,0,0
MISALIGN_MEM_REF.RMW_BUBBLE,0x5,0x94,"0,1","Nonzero segbase ld-op-st 1 bubble",0,0,0,0,0
SEGMENT_REG_LOADS.ANY,0x6,0x80,"0,1","Number of segment register loads.",0,0,0,0,0
PREFETCH.PREFETCHT0,0x7,0x81,"0,1","Streaming SIMD Extensions (SSE) PrefetchT0 instructions executed.",0,0,0,0,0
PREFETCH.PREFETCHT1,0x7,0x82,"0,1","Streaming SIMD Extensions (SSE) PrefetchT1 instructions executed.",0,0,0,0,0
PREFETCH.PREFETCHT2,0x7,0x84,"0,1","Streaming SIMD Extensions (SSE) PrefetchT2 instructions executed.",0,0,0,0,0
PREFETCH.SW_L2,0x7,0x86,"0,1","Streaming SIMD Extensions (SSE) PrefetchT1 and PrefetchT2 instructions executed",0,0,0,0,0
PREFETCH.PREFETCHNTA,0x7,0x88,"0,1","Streaming SIMD Extensions (SSE) Prefetch NTA instructions executed",0,0,0,0,0
PREFETCH.HW_PREFETCH,0x7,0x10,"0,1","L1 hardware prefetch request",0,0,0,0,0
PREFETCH.SOFTWARE_PREFETCH,0x7,0xF,"0,1","Any Software prefetch",0,0,0,0,0
PREFETCH.SOFTWARE_PREFETCH.AR,0x7,0x8F,"0,1","Any Software prefetch",0,0,0,0,0
DATA_TLB_MISSES.DTLB_MISS,0x8,0x7,"0,1","Memory accesses that missed the DTLB.",0,0,0,0,0
DATA_TLB_MISSES.DTLB_MISS_LD,0x8,0x5,"0,1","DTLB misses due to load operations.",0,0,0,0,0
DATA_TLB_MISSES.L0_DTLB_MISS_LD,0x8,0x9,"0,1","L0 DTLB misses due to load operations.",0,0,0,0,0
DATA_TLB_MISSES.DTLB_MISS_ST,0x8,0x6,"0,1","DTLB misses due to store operations.",0,0,0,0,0
DATA_TLB_MISSES.L0_DTLB_MISS_ST,0x8,0xA,"0,1","L0 DTLB misses due to store operations",0,0,0,0,0
DISPATCH_BLOCKED.ANY,0x9,0x20,"0,1","Memory cluster signals to block micro-op dispatch for any reason",0,0,0,0,0
PAGE_WALKS.WALKS,0xC,0x3,"0,1","Number of page-walks executed.",0,0,0,0,0
PAGE_WALKS.CYCLES,0xC,0x3,"0,1","Duration of page-walks in core cycles",0,0,0,0,0
PAGE_WALKS.D_SIDE_WALKS,0xC,0x1,"0,1","Number of D-side only page walks",0,0,0,0,0
PAGE_WALKS.D_SIDE_CYCLES,0xC,0x1,"0,1","Duration of D-side only page walks",0,0,0,0,0
PAGE_WALKS.I_SIDE_WALKS,0xC,0x2,"0,1","Number of I-Side page walks",0,0,0,0,0
PAGE_WALKS.I_SIDE_CYCLES,0xC,0x2,"0,1","Duration of I-Side page walks",0,0,0,0,0
X87_COMP_OPS_EXE.ANY.S,0x10,0x1,"0,1","Floating point computational micro-ops executed.",0,0,0,0,0
X87_COMP_OPS_EXE.ANY.AR,0x10,0x81,"0,1","Floating point computational micro-ops retired.",0,0,0,0,1
X87_COMP_OPS_EXE.FXCH.S,0x10,0x2,"0,1","FXCH uops executed.",0,0,0,0,0
X87_COMP_OPS_EXE.FXCH.AR,0x10,0x82,"0,1","FXCH uops retired.",0,0,0,0,1
FP_ASSIST.S,0x11,0x1,"0,1","Floating point assists.",0,0,0,0,0
FP_ASSIST.AR,0x11,0x81,"0,1","Floating point assists for retired operations.",0,0,0,0,0
MUL.S,0x12,0x1,"0,1","Multiply operations executed.",0,0,0,0,0
MUL.AR,0x12,0x81,"0,1","Multiply operations retired",0,0,0,0,0
DIV.S,0x13,0x1,"0,1","Divide operations executed.",0,0,0,0,0
DIV.AR,0x13,0x81,"0,1","Divide operations retired",0,0,0,0,0
CYCLES_DIV_BUSY,0x14,0x1,"0,1","Cycles the divider is busy.",0,0,0,0,0
L2_ADS.SELF,0x21,0x40,"0,1","Cycles L2 address bus is in use.",0,0,0,0,0
L2_DBUS_BUSY.SELF,0x22,0x40,"0,1","Cycles the L2 cache data bus is busy.",0,0,0,0,0
L2_DBUS_BUSY_RD.SELF,0x23,0x40,"0,1","Cycles the L2 transfers data to the core.",0,0,0,0,0
L2_LINES_IN.SELF.ANY,0x24,0x70,"0,1","L2 cache misses.",0,0,0,0,0
L2_LINES_IN.SELF.DEMAND,0x24,0x40,"0,1","L2 cache misses.",0,0,0,0,0
L2_LINES_IN.SELF.PREFETCH,0x24,0x50,"0,1","L2 cache misses.",0,0,0,0,0
L2_M_LINES_IN.SELF,0x25,0x40,"0,1","L2 cache line modifications.",0,0,0,0,0
L2_LINES_OUT.SELF.ANY,0x26,0x70,"0,1","L2 cache lines evicted.",0,0,0,0,0
L2_LINES_OUT.SELF.DEMAND,0x26,0x40,"0,1","L2 cache lines evicted.",0,0,0,0,0
L2_LINES_OUT.SELF.PREFETCH,0x26,0x50,"0,1","L2 cache lines evicted.",0,0,0,0,0
L2_M_LINES_OUT.SELF.ANY,0x27,0x70,"0,1","Modified lines evicted from the L2 cache",0,0,0,0,0
L2_M_LINES_OUT.SELF.DEMAND,0x27,0x40,"0,1","Modified lines evicted from the L2 cache",0,0,0,0,0
L2_M_LINES_OUT.SELF.PREFETCH,0x27,0x50,"0,1","Modified lines evicted from the L2 cache",0,0,0,0,0
L2_IFETCH.SELF.E_STATE,0x28,0x44,"0,1","L2 cacheable instruction fetch requests",0,0,0,0,0
L2_IFETCH.SELF.I_STATE,0x28,0x41,"0,1","L2 cacheable instruction fetch requests",0,0,0,0,0
L2_IFETCH.SELF.M_STATE,0x28,0x48,"0,1","L2 cacheable instruction fetch requests",0,0,0,0,0
L2_IFETCH.SELF.S_STATE,0x28,0x42,"0,1","L2 cacheable instruction fetch requests",0,0,0,0,0
L2_IFETCH.SELF.MESI,0x28,0x4F,"0,1","L2 cacheable instruction fetch requests",0,0,0,0,0
L2_LD.SELF.ANY.E_STATE,0x29,0x74,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.ANY.I_STATE,0x29,0x71,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.ANY.M_STATE,0x29,0x78,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.ANY.S_STATE,0x29,0x72,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.ANY.MESI,0x29,0x7F,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.DEMAND.E_STATE,0x29,0x44,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.DEMAND.I_STATE,0x29,0x41,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.DEMAND.M_STATE,0x29,0x48,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.DEMAND.S_STATE,0x29,0x42,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.DEMAND.MESI,0x29,0x4F,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.PREFETCH.E_STATE,0x29,0x54,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.PREFETCH.I_STATE,0x29,0x51,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.PREFETCH.M_STATE,0x29,0x58,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.PREFETCH.S_STATE,0x29,0x52,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.PREFETCH.MESI,0x29,0x5F,"0,1","L2 cache reads",0,0,0,0,0
L2_ST.SELF.E_STATE,0x2A,0x44,"0,1","L2 store requests",0,0,0,0,0
L2_ST.SELF.I_STATE,0x2A,0x41,"0,1","L2 store requests",0,0,0,0,0
L2_ST.SELF.M_STATE,0x2A,0x48,"0,1","L2 store requests",0,0,0,0,0
L2_ST.SELF.S_STATE,0x2A,0x42,"0,1","L2 store requests",0,0,0,0,0
L2_ST.SELF.MESI,0x2A,0x4F,"0,1","L2 store requests",0,0,0,0,0
L2_LOCK.SELF.E_STATE,0x2B,0x44,"0,1","L2 locked accesses",0,0,0,0,0
L2_LOCK.SELF.I_STATE,0x2B,0x41,"0,1","L2 locked accesses",0,0,0,0,0
L2_LOCK.SELF.M_STATE,0x2B,0x48,"0,1","L2 locked accesses",0,0,0,0,0
L2_LOCK.SELF.S_STATE,0x2B,0x42,"0,1","L2 locked accesses",0,0,0,0,0
L2_LOCK.SELF.MESI,0x2B,0x4F,"0,1","L2 locked accesses",0,0,0,0,0
L2_DATA_RQSTS.SELF.E_STATE,0x2C,0x44,"0,1","All data requests from the L1 data cache",0,0,0,0,0
L2_DATA_RQSTS.SELF.I_STATE,0x2C,0x41,"0,1","All data requests from the L1 data cache",0,0,0,0,0
L2_DATA_RQSTS.SELF.M_STATE,0x2C,0x48,"0,1","All data requests from the L1 data cache",0,0,0,0,0
L2_DATA_RQSTS.SELF.S_STATE,0x2C,0x42,"0,1","All data requests from the L1 data cache",0,0,0,0,0
L2_DATA_RQSTS.SELF.MESI,0x2C,0x4F,"0,1","All data requests from the L1 data cache",0,0,0,0,0
L2_LD_IFETCH.SELF.E_STATE,0x2D,0x44,"0,1","All read requests from L1 instruction and data caches",0,0,0,0,0
L2_LD_IFETCH.SELF.I_STATE,0x2D,0x41,"0,1","All read requests from L1 instruction and data caches",0,0,0,0,0
L2_LD_IFETCH.SELF.M_STATE,0x2D,0x48,"0,1","All read requests from L1 instruction and data caches",0,0,0,0,0
L2_LD_IFETCH.SELF.S_STATE,0x2D,0x42,"0,1","All read requests from L1 instruction and data caches",0,0,0,0,0
L2_LD_IFETCH.SELF.MESI,0x2D,0x4F,"0,1","All read requests from L1 instruction and data caches",0,0,0,0,0
L2_RQSTS.SELF.ANY.E_STATE,0x2E,0x74,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.ANY.I_STATE,0x2E,0x71,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.ANY.M_STATE,0x2E,0x78,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.ANY.S_STATE,0x2E,0x72,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.ANY.MESI,0x2E,0x7F,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.E_STATE,0x2E,0x44,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.I_STATE,0x2E,0x41,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.M_STATE,0x2E,0x48,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.S_STATE,0x2E,0x42,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.MESI,0x2E,0x4F,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.PREFETCH.E_STATE,0x2E,0x54,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.PREFETCH.I_STATE,0x2E,0x51,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.PREFETCH.M_STATE,0x2E,0x58,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.PREFETCH.S_STATE,0x2E,0x52,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.PREFETCH.MESI,0x2E,0x5F,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.I_STATE,0x2E,0x41,"0,1","L2 cache demand requests from this core that missed the L2",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.MESI,0x2E,0x4F,"0,1","L2 cache demand requests from this core",0,0,0,0,0
L2_REJECT_BUSQ.SELF.ANY.E_STATE,0x30,0x74,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.ANY.I_STATE,0x30,0x71,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.ANY.M_STATE,0x30,0x78,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.ANY.S_STATE,0x30,0x72,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.ANY.MESI,0x30,0x7F,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.DEMAND.E_STATE,0x30,0x44,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.DEMAND.I_STATE,0x30,0x41,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.DEMAND.M_STATE,0x30,0x48,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.DEMAND.S_STATE,0x30,0x42,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.DEMAND.MESI,0x30,0x4F,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.PREFETCH.E_STATE,0x30,0x54,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.PREFETCH.I_STATE,0x30,0x51,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.PREFETCH.M_STATE,0x30,0x58,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.PREFETCH.S_STATE,0x30,0x52,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.PREFETCH.MESI,0x30,0x5F,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_NO_REQ.SELF,0x32,0x40,"0,1","Cycles no L2 cache requests are pending",0,0,0,0,0
EIST_TRANS,0x3A,0x0,"0,1","Number of Enhanced Intel SpeedStep(R) Technology (EIST) transitions",0,0,0,0,0
THERMAL_TRIP,0x3B,0xC0,"0,1","Number of thermal trips",0,0,0,0,0
CPU_CLK_UNHALTED.CORE_P,0x3C,0x0,"0,1","Core cycles when core is not halted",0,0,0,0,0
CPU_CLK_UNHALTED.BUS,0x3C,0x1,"0,1","Bus cycles when core is not halted",0,0,0,0,0
CPU_CLK_UNHALTED.CORE,0xA,0x0,33,"Core cycles when core is not halted",0,0,0,0,0
CPU_CLK_UNHALTED.REF,0xA,0x0,34,"Reference cycles when core is not halted.",0,0,0,0,0
L1D_CACHE.LD,0x40,0xA1,"0,1","L1 Cacheable Data Reads",0,0,0,0,0
L1D_CACHE.ST,0x40,0xA2,"0,1","L1 Cacheable Data Writes",0,0,0,0,0
L1D_CACHE.ALL_REF,0x40,0x83,"0,1","L1 Data reads and writes",0,0,0,0,0
L1D_CACHE.ALL_CACHE_REF,0x40,0xA3,"0,1","L1 Data Cacheable reads and writes",0,0,0,0,0
L1D_CACHE.REPL,0x40,0x8,"0,1","L1 Data line replacements",0,0,0,0,0
